,KC514055_EF1,KC514055_EF1 consensus (B_0rel_N),KC514055_EF1 consensus (B_2rel_N),KC514055_EF1 consensus (B_4rel_N),KC514055_EF1 consensus (B_6rel_N),KC514055_EF1 consensus (B_8rel_N)
KC514055_EF1,,34.911,70.549,82.381,83.939,88.353
KC514055_EF1 consensus (B_0rel_N),34.911,,35.171,34.985,34.836,34.985
KC514055_EF1 consensus (B_2rel_N),70.549,35.171,,72.292,71.550,71.402
KC514055_EF1 consensus (B_4rel_N),82.381,34.985,72.292,,84.435,83.692
KC514055_EF1 consensus (B_6rel_N),83.939,34.836,71.550,84.435,,85.253
KC514055_EF1 consensus (B_8rel_N),88.353,34.985,71.402,83.692,85.253,
