,JX171623.1_RPB2,JX171623.1_RPB2 consensus (B_0rel_N),JX171623.1_RPB2 consensus (B_2rel_N),JX171623.1_RPB2 consensus (B_4rel_N),JX171623.1_RPB2 consensus (B_6rel_N),JX171623.1_RPB2 consensus (B_8rel_N)
JX171623.1_RPB2,,25.000,92.965,93.582,94.066,94.173
JX171623.1_RPB2 consensus (B_0rel_N),25.000,,25.000,25.000,25.000,25.000
JX171623.1_RPB2 consensus (B_2rel_N),92.965,25.000,,94.200,94.146,93.824
JX171623.1_RPB2 consensus (B_4rel_N),93.582,25.000,94.200,,94.979,94.764
JX171623.1_RPB2 consensus (B_6rel_N),94.066,25.000,94.146,94.979,,95.569
JX171623.1_RPB2 consensus (B_8rel_N),94.173,25.000,93.824,94.764,95.569,
