,JX171623.1_RPB2,JX171623.1_RPB2 consensus (B_0rel_P),JX171623.1_RPB2 consensus (B_2rel_P),JX171623.1_RPB2 consensus (B_4rel_P),JX171623.1_RPB2 consensus (B_6rel_P),JX171623.1_RPB2 consensus (B_8rel_P)
JX171623.1_RPB2,,95.314,95.462,95.381,95.059,94.844
JX171623.1_RPB2 consensus (B_0rel_P),95.314,,94.992,94.831,94.509,94.294
JX171623.1_RPB2 consensus (B_2rel_P),95.462,94.992,,95.516,95.086,94.979
JX171623.1_RPB2 consensus (B_4rel_P),95.381,94.831,95.516,,95.542,95.435
JX171623.1_RPB2 consensus (B_6rel_P),95.059,94.509,95.086,95.542,,95.757
JX171623.1_RPB2 consensus (B_8rel_P),94.844,94.294,94.979,95.435,95.757,
