Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1854,48225,32127,16098,3990.3205818965516,AJ879950_28S,1856,,Fusarium circinatum,Map_B_2rel_P
AY249397_28S mapping,2569,148280,76682,71598,9955.92448423511,AY249397_28S,2569,,Fusarium circinatum,Map_B_2rel_P
AY249403_28S mapping,2568,149566,76738,72828,10077.230919003116,AY249403_28S,2568,,Fusarium circinatum,Map_B_2rel_P
U61651.1_28S mapping,535,78922,48156,30766,23545.194392523365,U61651.1_28S,535,,,Map_B_2rel_P
U61599.1_18S mapping,680,25727,16965,8762,5817.045521292217,U61599.1_18S,681,,,Map_B_2rel_P
U61677.1_ITS mapping,522,71928,43366,28562,22232.04406130268,U61677.1_ITS,522,,,Map_B_2rel_P
KC514065_EF1 mapping,654,51,25,26,14.698956780923995,KC514065_EF1,671,,Fusarium circinatum,Map_B_2rel_P
KC514064_EF1 mapping,592,28,22,6,6.396423248882265,KC514064_EF1,671,,Fusarium circinatum,Map_B_2rel_P
KC514063_EF1 mapping,554,35,25,10,7.160953800298063,KC514063_EF1,671,,Fusarium circinatum,Map_B_2rel_P
KC514062_EF1 mapping,629,26,16,10,7.247663551401869,KC514062_EF1,642,,Fusarium circinatum,Map_B_2rel_P
KC514061_EF1 mapping,649,43,25,18,11.744011976047904,KC514061_EF1,668,,Fusarium circinatum,Map_B_2rel_P
KC514060_EF1 mapping,662,71,25,46,22.87928464977645,KC514060_EF1,671,,Fusarium circinatum,Map_B_2rel_P
KC514059_EF1 mapping,675,73,49,24,16.22222222222222,KC514059_EF1,675,,Fusarium circinatum,Map_B_2rel_P
KC514058_EF1 mapping,679,241,169,72,45.55735294117647,KC514058_EF1,680,,Fusarium circinatum,Map_B_2rel_P
KC514057_EF1 mapping,678,101,51,50,24.49406528189911,KC514057_EF1,674,,Fusarium circinatum,Map_B_2rel_P
KC514056_EF1 mapping,567,29,23,6,5.6726190476190474,KC514056_EF1,672,,Fusarium circinatum,Map_B_2rel_P
KC514055_EF1 mapping,670,58,16,42,18.91952309985097,KC514055_EF1,671,,Fusarium circinatum,Map_B_2rel_P
AF160295_EF1 mapping,630,55,41,14,12.6049766718507,AF160295_EF1,643,,Fusarium circinatum,Map_B_2rel_P
U61547.1_TUB2_1-4 mapping,570,374,218,156,105.87719298245614,U61547.1_TUB2_1-4,570,,,Map_B_2rel_P
U61625.1_TUB2_4-5 mapping,348,545,365,180,216.20977011494253,U61625.1_TUB2_4-5,348,,,Map_B_2rel_P
U61573.1_TUB2_4 mapping,318,524,378,146,229.88364779874215,U61573.1_TUB2_4,318,,,Map_B_2rel_P
FCU61547_TUB2_1-4 mapping,570,351,225,126,93.19649122807017,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_2rel_P
AF160295.1_EF1 mapping,624,52,42,10,11.528771384136858,AF160295.1_EF1,643,,,Map_B_2rel_P
AF158348.1_CAL mapping,677,622,314,308,159.9423929098966,AF158348.1_CAL,677,,,Map_B_2rel_P
AF158342.1_CAL mapping,676,319,295,24,57.382222222222225,AF158342.1_CAL,675,,,Map_B_2rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,5521,5337,184,4263.025477707007,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_2rel_P
JX171623.1_RPB2 mapping,1760,479,291,188,41.192266380236305,JX171623.1_RPB2,1862,,,Map_B_2rel_P
JX171510.1_RPB1 mapping,1605,2086,1182,904,220.1601246105919,JX171510.1_RPB1,1605,,,Map_B_2rel_P
HM068354.1_RPB2 mapping,1769,605,353,252,50.9609416800428,HM068354.1_RPB2,1869,,,Map_B_2rel_P
MN534252.1_RPB2 mapping,1598,379,241,138,34.795341098169715,MN534252.1_RPB2,1803,,,Map_B_2rel_P
MN534251.1_RPB2 mapping,1698,863,489,374,78.846921797005,MN534251.1_RPB2,1803,,,Map_B_2rel_P
