,MN534251.1_RPB2,MN534251.1_RPB2 consensus (B_0rel_N),MN534251.1_RPB2 consensus (B_2rel_N),MN534251.1_RPB2 consensus (B_4rel_N),MN534251.1_RPB2 consensus (B_6rel_N),MN534251.1_RPB2 consensus (B_8rel_N)
MN534251.1_RPB2,,25.000,93.053,93.608,94.093,94.315
MN534251.1_RPB2 consensus (B_0rel_N),25.000,,25.000,25.000,25.000,25.000
MN534251.1_RPB2 consensus (B_2rel_N),93.053,25.000,,94.551,94.052,94.163
MN534251.1_RPB2 consensus (B_4rel_N),93.608,25.000,94.551,,94.717,94.828
MN534251.1_RPB2 consensus (B_6rel_N),94.093,25.000,94.052,94.717,,95.535
MN534251.1_RPB2 consensus (B_8rel_N),94.315,25.000,94.163,94.828,95.535,
