Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1854,34676,30618,4058,2251.7359913793102,AJ879950_28S,1856,,Fusarium circinatum,Map_B_2rel_N
AY249397_28S mapping,2569,82708,69094,13614,3847.74892954457,AY249397_28S,2569,,Fusarium circinatum,Map_B_2rel_N
AY249403_28S mapping,2568,82973,69075,13898,3862.7869937694704,AY249403_28S,2568,,Fusarium circinatum,Map_B_2rel_N
U61651.1_28S mapping,535,44942,42000,2942,9685.209345794392,U61651.1_28S,535,,,Map_B_2rel_N
U61599.1_18S mapping,680,16889,15475,1414,2868.4625550660794,U61599.1_18S,681,,,Map_B_2rel_N
U61677.1_ITS mapping,522,39561,36641,2920,8711.12643678161,U61677.1_ITS,522,,,Map_B_2rel_N
KC514065_EF1 mapping,600,19,19,0,3.4485842026825635,KC514065_EF1,671,,Fusarium circinatum,Map_B_2rel_N
KC514064_EF1 mapping,570,18,18,0,2.9985096870342773,KC514064_EF1,671,,Fusarium circinatum,Map_B_2rel_N
KC514063_EF1 mapping,537,24,24,0,4.27123695976155,KC514063_EF1,671,,Fusarium circinatum,Map_B_2rel_N
KC514062_EF1 mapping,422,11,11,0,2.0031152647975077,KC514062_EF1,642,,Fusarium circinatum,Map_B_2rel_N
KC514061_EF1 mapping,592,23,21,2,4.125748502994012,KC514061_EF1,668,,Fusarium circinatum,Map_B_2rel_N
KC514060_EF1 mapping,556,20,20,0,3.6110283159463488,KC514060_EF1,671,,Fusarium circinatum,Map_B_2rel_N
KC514059_EF1 mapping,674,56,48,8,10.265185185185185,KC514059_EF1,675,,Fusarium circinatum,Map_B_2rel_N
KC514058_EF1 mapping,678,163,147,16,24.825,KC514058_EF1,680,,Fusarium circinatum,Map_B_2rel_N
KC514057_EF1 mapping,580,34,32,2,5.621661721068249,KC514057_EF1,674,,Fusarium circinatum,Map_B_2rel_N
KC514056_EF1 mapping,444,21,21,0,3.6875,KC514056_EF1,672,,Fusarium circinatum,Map_B_2rel_N
KC514055_EF1 mapping,432,12,8,4,2.0625931445603576,KC514055_EF1,671,,Fusarium circinatum,Map_B_2rel_N
AF160295_EF1 mapping,628,41,39,2,7.878693623639191,AF160295_EF1,643,,Fusarium circinatum,Map_B_2rel_N
U61547.1_TUB2_1-4 mapping,570,214,192,22,43.45087719298245,U61547.1_TUB2_1-4,570,,,Map_B_2rel_N
U61625.1_TUB2_4-5 mapping,348,337,333,4,100.47413793103448,U61625.1_TUB2_4-5,348,,,Map_B_2rel_N
U61573.1_TUB2_4 mapping,318,316,314,2,105.83333333333333,U61573.1_TUB2_4,318,,,Map_B_2rel_N
FCU61547_TUB2_1-4 mapping,570,225,207,18,45.4280701754386,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_2rel_N
AF160295.1_EF1 mapping,624,39,39,0,7.496111975116641,AF160295.1_EF1,643,,,Map_B_2rel_N
AF158348.1_CAL mapping,611,262,256,6,42.19202363367799,AF158348.1_CAL,677,,,Map_B_2rel_N
AF158342.1_CAL mapping,678,313,295,18,56.114074074074075,AF158342.1_CAL,675,,,Map_B_2rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,5025,5011,14,3813.496815286624,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_2rel_N
JX171623.1_RPB2 mapping,1746,295,257,38,18.778195488721803,JX171623.1_RPB2,1862,,,Map_B_2rel_N
JX171510.1_RPB1 mapping,1605,1257,1071,186,94.76947040498442,JX171510.1_RPB1,1605,,,Map_B_2rel_N
HM068354.1_RPB2 mapping,1754,348,310,38,21.070626003210272,HM068354.1_RPB2,1869,,,Map_B_2rel_N
MN534252.1_RPB2 mapping,1512,253,223,30,17.287298946200778,MN534252.1_RPB2,1803,,,Map_B_2rel_N
MN534251.1_RPB2 mapping,1696,536,450,86,36.177481974486966,MN534251.1_RPB2,1803,,,Map_B_2rel_N
