,HM068354.1_RPB2,HM068354.1_RPB2 consensus (B_0rel_N),HM068354.1_RPB2 consensus (B_2rel_N),HM068354.1_RPB2 consensus (B_4rel_N),HM068354.1_RPB2 consensus (B_6rel_N),HM068354.1_RPB2 consensus (B_8rel_N)
HM068354.1_RPB2,,25.000,92.496,93.834,93.941,94.329
HM068354.1_RPB2 consensus (B_0rel_N),25.000,,25.000,25.000,25.000,25.000
HM068354.1_RPB2 consensus (B_2rel_N),92.496,25.000,,93.727,93.620,93.406
HM068354.1_RPB2 consensus (B_4rel_N),93.834,25.000,93.727,,95.332,95.011
HM068354.1_RPB2 consensus (B_6rel_N),93.941,25.000,93.620,95.332,,95.439
HM068354.1_RPB2 consensus (B_8rel_N),94.329,25.000,93.406,95.011,95.439,
