Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1854,34676,30618,4058,2251.71875,AJ879950_28S,1856,,Fusarium circinatum,Map_C_2rel_N
AY249397_28S mapping,2569,84296,70666,13630,3899.6687427014404,AY249397_28S,2569,,Fusarium circinatum,Map_C_2rel_N
AY249403_28S mapping,2568,84589,70679,13910,3915.5023364485983,AY249403_28S,2568,,Fusarium circinatum,Map_C_2rel_N
U61651.1_28S mapping,535,57081,50817,6264,12302.302803738317,U61651.1_28S,535,,,Map_C_2rel_N
U61599.1_18S mapping,680,19796,18166,1630,3271.389133627019,U61599.1_18S,681,,,Map_C_2rel_N
U61677.1_ITS mapping,522,43907,40835,3072,9712.124521072798,U61677.1_ITS,522,,,Map_C_2rel_N
KC514065_EF1 mapping,600,28,28,0,4.725782414307004,KC514065_EF1,671,,Fusarium circinatum,Map_C_2rel_N
KC514064_EF1 mapping,570,25,23,2,3.9344262295081966,KC514064_EF1,671,,Fusarium circinatum,Map_C_2rel_N
KC514063_EF1 mapping,563,28,28,0,4.894187779433681,KC514063_EF1,671,,Fusarium circinatum,Map_C_2rel_N
KC514062_EF1 mapping,422,15,15,0,2.629283489096573,KC514062_EF1,642,,Fusarium circinatum,Map_C_2rel_N
KC514061_EF1 mapping,592,30,28,2,5.172155688622754,KC514061_EF1,668,,Fusarium circinatum,Map_C_2rel_N
KC514060_EF1 mapping,556,27,27,0,4.80327868852459,KC514060_EF1,671,,Fusarium circinatum,Map_C_2rel_N
KC514059_EF1 mapping,674,62,54,8,11.306666666666667,KC514059_EF1,675,,Fusarium circinatum,Map_C_2rel_N
KC514058_EF1 mapping,678,165,149,16,25.180882352941175,KC514058_EF1,680,,Fusarium circinatum,Map_C_2rel_N
KC514057_EF1 mapping,580,41,39,2,6.692878338278931,KC514057_EF1,674,,Fusarium circinatum,Map_C_2rel_N
KC514056_EF1 mapping,458,25,25,0,4.239583333333333,KC514056_EF1,672,,Fusarium circinatum,Map_C_2rel_N
KC514055_EF1 mapping,432,18,16,2,3.029806259314456,KC514055_EF1,671,,Fusarium circinatum,Map_C_2rel_N
AF160295_EF1 mapping,628,45,43,2,8.40746500777605,AF160295_EF1,643,,Fusarium circinatum,Map_C_2rel_N
U61547.1_TUB2_1-4 mapping,570,244,220,24,48.82631578947368,U61547.1_TUB2_1-4,570,,,Map_C_2rel_N
U61625.1_TUB2_4-5 mapping,348,409,397,12,121.55747126436782,U61625.1_TUB2_4-5,348,,,Map_C_2rel_N
U61573.1_TUB2_4 mapping,318,469,435,34,165.96540880503144,U61573.1_TUB2_4,318,,,Map_C_2rel_N
FCU61547_TUB2_1-4 mapping,570,252,232,20,50.454385964912284,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_C_2rel_N
AF160295.1_EF1 mapping,624,44,44,0,8.331259720062208,AF160295.1_EF1,643,,,Map_C_2rel_N
AF158348.1_CAL mapping,635,288,274,14,46.76218611521418,AF158348.1_CAL,677,,,Map_C_2rel_N
AF158342.1_CAL mapping,678,359,323,36,63.419259259259256,AF158342.1_CAL,675,,,Map_C_2rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,9334,9220,114,6865.522292993631,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_C_2rel_N
JX171623.1_RPB2 mapping,1758,327,285,42,20.71750805585392,JX171623.1_RPB2,1862,,,Map_C_2rel_N
JX171510.1_RPB1 mapping,1605,1317,1127,190,99.08411214953271,JX171510.1_RPB1,1605,,,Map_C_2rel_N
HM068354.1_RPB2 mapping,1754,393,353,40,24.028357410379883,HM068354.1_RPB2,1869,,,Map_C_2rel_N
MN534252.1_RPB2 mapping,1603,276,242,34,18.62728785357737,MN534252.1_RPB2,1803,,,Map_C_2rel_N
MN534251.1_RPB2 mapping,1696,565,477,88,38.03605102606767,MN534251.1_RPB2,1803,,,Map_C_2rel_N
