,AF160295_EF1,AF160295_EF1 consensus (B_0rel_P),AF160295_EF1 consensus (B_2rel_P),AF160295_EF1 consensus (B_4rel_P),AF160295_EF1 consensus (B_6rel_P),AF160295_EF1 consensus (B_8rel_P)
AF160295_EF1,,93.235,95.317,97.667,97.201,98.639
AF160295_EF1 consensus (B_0rel_P),93.235,,90.325,92.302,91.835,91.991
AF160295_EF1 consensus (B_2rel_P),95.317,90.325,,95.930,95.930,95.930
AF160295_EF1 consensus (B_4rel_P),97.667,92.302,95.930,,98.131,98.287
AF160295_EF1 consensus (B_6rel_P),97.201,91.835,95.930,98.131,,98.131
AF160295_EF1 consensus (B_8rel_P),98.639,91.991,95.930,98.287,98.131,
