,HM068354.1_RPB2,HM068354.1_RPB2 consensus (B_0rel_P),HM068354.1_RPB2 consensus (B_2rel_P),HM068354.1_RPB2 consensus (B_4rel_P),HM068354.1_RPB2 consensus (B_6rel_P),HM068354.1_RPB2 consensus (B_8rel_P)
HM068354.1_RPB2,,95.987,95.559,95.185,94.917,94.864
HM068354.1_RPB2 consensus (B_0rel_P),95.987,,95.559,95.185,94.917,94.864
HM068354.1_RPB2 consensus (B_2rel_P),95.559,95.559,,95.399,95.131,95.078
HM068354.1_RPB2 consensus (B_4rel_P),95.185,95.185,95.399,,95.613,95.559
HM068354.1_RPB2 consensus (B_6rel_P),94.917,94.917,95.131,95.613,,95.934
HM068354.1_RPB2 consensus (B_8rel_P),94.864,94.864,95.078,95.559,95.934,
