Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1855,13550,1510,12040,1738.610452586207,AJ879950_28S,1856,,Fusarium circinatum,Map_C_0rel_P
AY249397_28S mapping,2569,67164,9162,58002,6160.240560529389,AY249397_28S,2569,,Fusarium circinatum,Map_C_0rel_P
AY249403_28S mapping,2568,68210,9268,58942,6267.192367601246,AY249403_28S,2568,,Fusarium circinatum,Map_C_0rel_P
U61651.1_28S mapping,535,46529,15373,31156,16559.005607476636,U61651.1_28S,535,,,Map_C_0rel_P
U61599.1_18S mapping,680,11746,4182,7564,3351.6299559471368,U61599.1_18S,681,,,Map_C_0rel_P
U61677.1_ITS mapping,522,36714,10920,25794,14522.155172413793,U61677.1_ITS,522,,,Map_C_0rel_P
KC514065_EF1 mapping,654,41,15,26,12.527570789865871,KC514065_EF1,671,,Fusarium circinatum,Map_C_0rel_P
KC514064_EF1 mapping,529,17,9,8,4.333830104321907,KC514064_EF1,671,,Fusarium circinatum,Map_C_0rel_P
KC514063_EF1 mapping,364,15,5,10,3.5126676602086437,KC514063_EF1,671,,Fusarium circinatum,Map_C_0rel_P
KC514062_EF1 mapping,629,19,9,10,5.870716510903427,KC514062_EF1,642,,Fusarium circinatum,Map_C_0rel_P
KC514061_EF1 mapping,632,27,11,16,8.664670658682635,KC514061_EF1,668,,Fusarium circinatum,Map_C_0rel_P
KC514060_EF1 mapping,662,58,12,46,20.460506706408346,KC514060_EF1,671,,Fusarium circinatum,Map_C_0rel_P
KC514059_EF1 mapping,666,23,7,16,6.998518518518519,KC514059_EF1,675,,Fusarium circinatum,Map_C_0rel_P
KC514058_EF1 mapping,680,80,24,56,21.08823529411765,KC514058_EF1,680,,Fusarium circinatum,Map_C_0rel_P
KC514057_EF1 mapping,650,74,26,48,19.94362017804154,KC514057_EF1,674,,Fusarium circinatum,Map_C_0rel_P
KC514056_EF1 mapping,572,12,6,6,2.537202380952381,KC514056_EF1,672,,Fusarium circinatum,Map_C_0rel_P
KC514055_EF1 mapping,670,54,16,38,18.092399403874815,KC514055_EF1,671,,Fusarium circinatum,Map_C_0rel_P
AF160295_EF1 mapping,585,18,6,12,5.255054432348367,AF160295_EF1,643,,Fusarium circinatum,Map_C_0rel_P
U61547.1_TUB2_1-4 mapping,570,190,54,136,67.80175438596491,U61547.1_TUB2_1-4,570,,,Map_C_0rel_P
U61625.1_TUB2_4-5 mapping,348,283,99,184,137.47413793103448,U61625.1_TUB2_4-5,348,,,Map_C_0rel_P
U61573.1_TUB2_4 mapping,318,361,185,176,184.1823899371069,U61573.1_TUB2_4,318,,,Map_C_0rel_P
FCU61547_TUB2_1-4 mapping,570,153,43,110,52.794736842105266,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_C_0rel_P
AF160295.1_EF1 mapping,622,18,8,10,4.867807153965785,AF160295.1_EF1,643,,,Map_C_0rel_P
AF158348.1_CAL mapping,677,386,76,310,122.32053175775481,AF158348.1_CAL,677,,,Map_C_0rel_P
AF158342.1_CAL mapping,428,52,28,24,8.573333333333334,AF158342.1_CAL,675,,,Map_C_0rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,5152,4868,284,3718.4649681528663,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_C_0rel_P
JX171623.1_RPB2 mapping,1747,216,62,154,24.353383458646615,JX171623.1_RPB2,1862,,,Map_C_0rel_P
JX171510.1_RPB1 mapping,1605,891,169,722,129.81993769470404,JX171510.1_RPB1,1605,,,Map_C_0rel_P
HM068354.1_RPB2 mapping,1769,302,86,216,32.84804708400214,HM068354.1_RPB2,1869,,,Map_C_0rel_P
MN534252.1_RPB2 mapping,1663,149,37,112,18.848031059345534,MN534252.1_RPB2,1803,,,Map_C_0rel_P
MN534251.1_RPB2 mapping,1698,356,66,290,44.528008874098724,MN534251.1_RPB2,1803,,,Map_C_0rel_P
