,MN534252.1_RPB2,MN534252.1_RPB2 consensus (B_0rel_P),MN534252.1_RPB2 consensus (B_2rel_P),MN534252.1_RPB2 consensus (B_4rel_P),MN534252.1_RPB2 consensus (B_6rel_P),MN534252.1_RPB2 consensus (B_8rel_P)
MN534252.1_RPB2,,91.306,90.862,90.641,90.460,90.405
MN534252.1_RPB2 consensus (B_0rel_P),91.306,,90.696,90.474,90.252,90.197
MN534252.1_RPB2 consensus (B_2rel_P),90.862,90.696,,91.251,91.029,90.973
MN534252.1_RPB2 consensus (B_4rel_P),90.641,90.474,91.251,,91.251,91.195
MN534252.1_RPB2 consensus (B_6rel_P),90.460,90.252,91.029,91.251,,91.459
MN534252.1_RPB2 consensus (B_8rel_P),90.405,90.197,90.973,91.195,91.459,
