,KC514061_EF1,KC514061_EF1 consensus (B_0rel_P),KC514061_EF1 consensus (B_2rel_P),KC514061_EF1 consensus (B_4rel_P),KC514061_EF1 consensus (B_6rel_P),KC514061_EF1 consensus (B_8rel_P)
KC514061_EF1,,95.958,96.051,95.902,96.051,95.753
KC514061_EF1 consensus (B_0rel_P),95.958,,94.486,94.337,94.486,94.188
KC514061_EF1 consensus (B_2rel_P),96.051,94.486,,97.392,97.541,97.243
KC514061_EF1 consensus (B_4rel_P),95.902,94.337,97.392,,97.392,97.094
KC514061_EF1 consensus (B_6rel_P),96.051,94.486,97.541,97.392,,97.243
KC514061_EF1 consensus (B_8rel_P),95.753,94.188,97.243,97.094,97.243,
